20-91,36-157,50-218,75-320
136.8175,310.665,2540.525,1875.0825
69.4075,134.3075,171.22,1425.31
107.265,175.6225,401.955,958.86
53.1175,513.5025,1892.3075,7468.1
31.2925,2731.285,1573.91,5849.3875
96.515,1324.1025,341.4725,1171.5275
141.215,1221.9525,6861.55,11045.2925
108.285,92.3525,1970.5625,1950.21
204.7275,884.32,1392.205,3198.6975
98.7325,176.9,2070.985,1308.6725
52.23,1710.4275,513.475,4719.21
12.5325,985.245,805.7775,641.83
53.635,732.3525,294.2,2871.7625
79.95,123.145,744.7175,3372.0875
17.3325,746.28,381.3875,3596.205
291.105,429.02,618.8575,200.2275
105.5825,217.4975,1066.395,5417.38
31.62,174.435,477.3175,4514.275
327.84,267.8325,1071.4625,434.8725
281.685,178.885,842.0975,3089.785
289.6925,2745.3075,1046.6025,14733.8375
95.415,3826.805,449.3525,1787.5
69.1775,189.5175,645.3775,1551.1925
70.755,761.18,852.8725,20503.2025
45.115,4080.3325,8865.4575,3121.0325
106.345,932.475,2742.8975,3070.79
36.1275,280.27,326.5475,9802.435
199.375,244.63,276.085,14041.83
31.33,514.055,7920.465,1017.3525
578.505,209.7275,803.3025,823.5575
76.91,149.9475,847.98,3969.315
22.635,109.655,340.1725,2613.3975
807.675,247.1625,1243.7475,4766.73
34.9125,354.7125,2574.1575,465.8075
30.615,169.8625,1808.1175,6453.99
52.19,2664.355,4739.195,605.5525
116.625,148.365,232.5625,3914.1125
666.51,1502.735,365.33,1568.6725
60.6875,1095.73,684.9575,1055.3625
53.3275,261.67,8654.215,1778.3275
265.405,149.3825,1293.1375,2638.6025
50.725,175.945,995.29,5568.4075
172.02,221.11,272.315,2134.3575
687.4275,96.29,512.2675,21209.3575
125.94,1276.2525,202.31,2914.04
84.6175,986.5125,199.3475,14702.0575
54.2075,733.425,1054.4475,14094.9275
188.02,1592.64,2370.5725,817.5775
64.32,1935.8375,440.515,1181.9425
126.7575,137.325,770.6475,11303.52
339.3225,1154.995,1181.56,1024.09
242.775,234.3925,999.2075,2491.6175
258.315,496.92,8454.3925,29280.99
44.9825,1065.1875,297.0175,234.4425
16.99,176.2875,3548.275,1025.8725
52.3825,1314.0025,950.8875,779.085
30.125,390.47,4418.4625,938.9975
152.3925,715.95,1201.33,1791.9375
181.745,215.7325,483.3625,4985.7475
733.58,355.835,1416.7825,15798.235
24.4425,107.4675,3264.48,1355.22
53.05,620.995,2377.725,5637.9975
59.1075,698.6475,188.5025,373.5925
70.15,455.66,2845.445,14586.4125
33.46,493.625,320.48,1442.98
354.7075,1762.9025,958.7925,2815.2325
588.64,893.75,1512.59,689.9425
65.0525,236.0375,1960.5575,48496.16
58.75,287.8375,340.105,1514.9375
89.89,347.575,2208.805,1223.1425
45.525,172.5175,1133.8975,14223.035
166.3575,94.715,1268.025,898.33
321.1225,342.65,878.4425,1263.9825
471.0775,498.5375,599.6375,4199.75
32.685,195.7,215.1725,3785.9675
