20-91,36-157,50-218,75-320
83.59,236.43,1293.01,1015.06
72.9825,79.0525,129.81,671.2225
72.3925,126.2075,213.2475,480.3575
48.4975,280.7025,495.83,2505.7875
30.3625,566.9575,640.165,1102.995
85.07,688.6175,249.1275,382.77
119.815,526.82,1951.3125,2652.945
46.215,67.75,969.755,851.8225
126.675,403.2575,659.1,1241.435
77.0625,114.115,1111.63,412.855
41.935,643.075,238.6575,2027.9225
13.125,510.625,515.4025,314.57
46.2975,434.3475,185.4025,1095.97
71.79,88.95,462.215,1734.27
18.2175,232.7575,218.8575,673.615
147.9,196.8,304.2625,132.3925
57.9925,167.575,472.16,2411.28
32.8975,111.745,224.3975,2294.26
189.335,170.71,844.655,257.7925
116.92,119.25,326.165,1193.0675
222.7525,1410.51,717.5175,2522.0925
67.1325,1501.705,329.605,736.0225
47.8025,119.745,295.575,746.495
47.14,312.25,634.3325,3262.1375
40.905,1639.24,3366.825,966.4275
93.13,274.0825,1067.4975,951.62
29.6625,156.7625,185.1225,3531.0975
153.22,167.9525,170.555,8872.83
33.78,262.01,1979.93,594.14
181.01,130.815,313.98,417.855
74.24,101.7825,345.935,1624.0775
22.6675,89.5075,197.3075,1242.885
326.375,216.245,504.64,1136.7425
28.09,232.12,1258.34,242.7025
22.05,135.6675,826.535,3548.2125
45.605,1083.5025,1543.86,329.645
66.43,97.575,150.7325,1047.4375
285.23,819.1,227.14,558.61
44.5025,348.855,462.7925,628.51
59.3275,250.7925,3308.47,847.7325
219.49,118.64,505.1775,1035.415
40.73,135.505,359.2875,1538.85
100.9875,125.3175,154.7425,1298.265
348.22,75.865,262.1325,7584.5425
85.6,420.0575,142.015,1008.87
67.315,558.7075,135.675,4198.8675
36.2275,405.1375,423.0525,2741.8975
133.605,499.1325,756.835,527.0075
41.905,719.4175,300.955,503.42
105.9275,96.0675,359.3725,3107.855
175.0175,555.2675,497.6575,428.5975
183.2475,136.6575,563.1225,1169.9475
161.625,244.4225,2127.53,7826.46
33.1975,483.3125,189.415,149.3975
16.2325,84.5575,1747.13,398.6425
42.59,672.325,345.4275,463.0375
30.325,168.6875,784.945,483.5875
66.75,398.005,653.595,588.675
131.0025,121.525,294.515,1607.825
328.315,188.175,1019.1075,5224.5425
23.095,82.5275,1651.66,400.81
49.26,254.8925,1631.8725,2980.3025
50.5925,357.29,118.8175,222.335
64.03,191.8575,660.3,2330.6375
33.1225,229.63,163.715,745.78
203.175,928.06,436.495,1135.745
268.74,488.955,535.9275,346.4625
55.44,175.8325,1170.6525,7031.6125
46.625,179.19,243.2,573.6075
73.9825,174.605,1090.0375,686.2025
42.85,126.3025,378.225,3795.58
125.7475,69.25,654.02,454.9525
157.465,146.31,630.315,780.265
270.76,266.57,210.945,1756.5075
31.015,153.74,148.3525,757.0075
37.6075,212.29,799.665,605.2025
125.32,87.015,1033.645,7664.89
168.515,271.16,266.845,675.9375
149.245,389.37,2640.9425,1601.1525
61.37,431.8425,143.7225,1869.815
225.275,496.5575,271.03,386.49
